date,LGA,group,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
2027-07-01,Bende,U5,2874.1714108668966,353.996790584311,23285.437683731787,116.30747921790751,70468.59577496749
2027-08-01,Bende,U5,3115.4330284614643,363.050363810569,26677.052781562787,115.82283222785021,83134.75895800056
2027-09-01,Bende,U5,3374.103031263919,372.14279831570997,30527.045893060185,115.30038425658694,97946.4018461957
2027-10-01,Bende,U5,3656.894730991772,381.84726766362655,34948.16901110903,114.9140350091275,115431.04290976294
2027-11-01,Bende,U5,3969.1298539137015,392.46820509823374,40057.970083749686,114.73899226035846,136184.14166323375
2027-12-01,Bende,U5,4308.061918938898,403.469992501288,45906.02639378185,114.60125637140749,160620.2181777114
2028-01-01,Bende,U5,4680.36007634287,415.2434507638955,52648.79454729679,114.60286050965551,189571.57690476027
2028-02-01,Bende,U5,5089.488904970505,427.8111347450205,60429.04761766794,114.73469858627523,223899.676358618
2028-03-01,Bende,U5,5543.157383859107,441.5068076068415,69461.6174526772,115.06961627666014,264820.07965045754
2028-04-01,Bende,U5,6036.422289156109,455.613360793039,79826.86100321809,115.40367585496358,313137.4608765747
2026-05-01,Bende,A5,3279.7638674756477,1097.508759271763,9797.202757408299,614.5494584596671,17484.859838245677
2026-06-01,Bende,A5,3364.5622138211406,1000.7918292624854,11305.749250929259,526.4503792414278,21474.022980154103
2026-07-01,Bende,A5,3772.581797566743,1005.876254111989,14141.670983422768,499.3069638093017,28461.365333684967
2026-08-01,Bende,A5,4070.454450249715,979.0202081016755,16913.693394504357,460.1192009248214,35947.928839249966
2026-09-01,Bende,A5,4573.282963921586,997.2845443769194,20959.020619254432,444.97008454057163,46917.09015750186
2026-10-01,Bende,A5,4993.434228056904,991.276193075817,25137.538475930603,420.7874485494671,59138.676498602355
2026-11-01,Bende,A5,5470.326221194803,991.9213339926013,30147.824074875673,401.3083367734387,74408.12325809452
2026-12-01,Bende,A5,5991.443727305663,995.1539113597668,36047.02572717712,384.30251537920014,93196.8909859551
2027-01-01,Bende,A5,6661.016790263244,1015.8717718177832,43645.08099447023,374.94312532797835,118055.33544975573
2027-02-01,Bende,A5,7321.695173692351,1027.3880641288172,52140.66371353421,362.8006027501561,147392.556254338
2027-03-01,Bende,A5,7958.258912908062,1029.2650112605177,61487.84194873186,348.06840934606066,181481.48522799573
2027-04-01,Bende,A5,8873.430803193009,1059.3993547915302,74268.68125244093,343.3791926431886,228687.38699630593
2027-05-01,Bende,A5,9679.48395557363,1080.4390077834678,86653.69706534021,337.92159028736916,276498.85217719816
2027-06-01,Bende,A5,10671.59447544087,1107.9014530953034,102717.12027954985,333.44490531888795,340576.0906529584
2027-07-01,Bende,A5,11734.807768683853,1134.023179970696,121343.82045296747,328.576699907589,417896.2118542318
2027-08-01,Bende,A5,12937.547102556728,1164.6089067197647,143620.07235109416,324.97716369802987,513550.31514720543
2027-09-01,Bende,A5,14254.907684308317,1196.0318061858786,169778.03415204893,321.5257244497963,630122.0832058961
2027-10-01,Bende,A5,15741.30230211745,1231.6952623267894,201038.21005056537,319.08269218284096,774236.6823976787
2027-11-01,Bende,A5,17398.85581038717,1270.1942440706212,238164.79066058504,317.1802189945554,951519.4407708476
2027-12-01,Bende,A5,19251.830003538664,1311.8459464344942,282340.93368372734,315.8268659496242,1169948.5938709169
2028-01-01,Bende,A5,21312.335565038014,1355.9764652923682,334756.6649459737,314.79575141579414,1438454.9351142542
2028-02-01,Bende,A5,23630.261944904134,1404.1905110339433,397408.8435220535,314.3998270767222,1770566.0490834874
2028-03-01,Bende,A5,26241.36836340611,1456.7509068425466,472412.972845555,314.61468960495665,2181969.358168914
2028-04-01,Bende,A5,29143.417508756545,1511.7002885158008,561509.4845111845,314.9508552235717,2688382.5187711962
2026-05-01,Ikwuano,PW,1892.3653899792228,534.9728405063531,6687.459244659584,273.78978815729056,13044.726786321495
2026-06-01,Ikwuano,PW,1988.1431759891009,333.34073268631994,11833.306106806891,129.07866206953736,30416.675825023798
2026-07-01,Ikwuano,PW,1921.454947419965,215.822729056708,17044.413278111122,67.29604270723709,54113.89272815314
2026-08-01,Ikwuano,PW,1888.548327040706,151.36817312644752,23431.66843042953,39.18366272976597,88850.85266044876
2026-09-01,Ikwuano,PW,1843.3995339642486,109.7480519705572,30715.654427401747,23.986363059076442,136145.65058874225
2026-10-01,Ikwuano,PW,1843.7710926365917,83.90655635305409,40080.47933920055,15.640850319225951,204506.60141119402
2026-11-01,Ikwuano,PW,1806.4106408208834,64.18130160594461,50116.6433128274,10.2274211047505,290959.2476004351
2026-12-01,Ikwuano,PW,1795.902476332231,50.66977514742246,62489.275992810755,6.894561709622465,408996.8175119382
2027-01-01,Ikwuano,PW,1733.0758963220035,39.33053027235532,74558.37707484415,4.507393590540084,545995.7886388297
2027-02-01,Ikwuano,PW,1712.550543868463,31.62313308046734,90004.31797940492,3.0069704443841343,732785.9040080239
2027-03-01,Ikwuano,PW,1699.280185797583,25.771128501619256,107986.70436744965,1.9736751136034307,972180.7615484804
2027-04-01,Ikwuano,PW,1670.7806483720117,20.96395985642839,127246.11548100693,1.216773391353302,1260773.1265628138
2027-05-01,Ikwuano,PW,1650.291492147145,17.006059272375374,151434.88892995063,0.6465851098192872,1656010.3265792904
2027-06-01,Ikwuano,PW,1633.9170171166656,13.914720073464961,179214.81093654965,0.2409878850620227,2153890.8187940777
2027-07-01,Ikwuano,PW,1612.6971788751193,11.40353471519211,209940.65331919977,0.0,2762669.07375424
2027-08-01,Ikwuano,PW,1592.7861453584376,9.387758582975446,244532.43393054776,0.0,3511462.424905221
2027-09-01,Ikwuano,PW,1572.7445918066057,7.747713870259385,283121.205066717,0.0,4423028.446371083
2027-10-01,Ikwuano,PW,1554.4018730256353,6.412207084758173,326389.6362770738,0.0,5531903.781519158
2027-11-01,Ikwuano,PW,1535.116486357422,5.306055498475352,374187.56529720925,0.0,6863020.604490249
2027-12-01,Ikwuano,PW,1516.9291433351011,4.391777176067404,427336.5566062581,0.0,8461908.801603029
2028-01-01,Ikwuano,PW,1497.3192559627275,3.6238629590099998,485515.24749479216,0.0,10357018.959054993
2028-02-01,Ikwuano,PW,1479.300631891902,2.983978102379481,550024.6036725676,0.0,12614677.478274839
2028-03-01,Ikwuano,PW,1461.7527870878846,2.4453894165301557,621016.0919629186,0.0,15284351.636387423
2028-04-01,Ikwuano,PW,1443.9478546759276,1.9885049640325838,698634.045904445,0.0,18419799.9461833
2026-05-01,Ikwuano,U5,626.3860924000923,244.3208495988384,1603.483718284501,148.2306236844965,2636.617529289663
2026-06-01,Ikwuano,U5,735.7934118057384,255.19663306805194,2117.9370257498376,145.45831185003178,3705.614700271941
2026-07-01,Ikwuano,U5,782.717133336314,243.63417986270204,2509.7388731599526,131.08281646456436,4649.207812987337
2026-08-01,Ikwuano,U5,818.6206314405729,230.27578066760123,2903.6620339747096,117.37270469871997,5674.108811552806
