LGA,date,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
Arochukwu,2027-01-01,18737.186979393213,799.7568503154653,490345.059627053,163.98236117095314,2809099.4293168383
Arochukwu,2027-02-01,21985.383738310713,772.6998284961035,704857.5821135846,144.4370565464609,4496629.348993059
Arochukwu,2027-03-01,23592.612068774815,697.5118395956547,916090.5537919198,120.94366873013936,6478515.497340599
Arochukwu,2027-04-01,27757.19253523716,682.7486507259505,1305637.76292432,108.54939785373116,10217719.271141307
Arochukwu,2027-05-01,31538.053937710978,684.5416518001051,1678409.4294266824,101.70337637535562,14015169.3197366
Arochukwu,2027-06-01,37826.014485329986,718.7539559451816,2281709.6560348873,99.01930932533445,20331321.107667282
Arochukwu,2027-07-01,41173.63069700653,697.3030681059167,2798865.9143752344,90.56955206984416,26578239.174186148
Arochukwu,2027-08-01,47086.72324711988,705.4795029003639,3613683.894851831,85.77433371354947,36576689.52078229
Arochukwu,2027-09-01,51773.675366122705,691.461222870096,4475223.438639084,79.25113492268488,48255399.00384495
Arochukwu,2027-10-01,58022.54250590263,689.0332765965958,5651706.926925315,74.26403856323337,64920378.60791582
Arochukwu,2027-11-01,65237.91261631966,688.9067977458137,7159654.731171431,69.82434937788652,87603198.45569791
Arochukwu,2027-12-01,72164.0102024925,679.9654784891551,8914779.960908238,65.01717776240197,116168630.00924546
Arochukwu,2028-01-01,81192.05398453165,680.9255842508413,11297193.26730894,61.2800451180359,156793272.8388147
Arochukwu,2028-02-01,90952.73506298909,679.7192784278371,14250589.024820209,57.638987929910655,210649568.7704339
Arochukwu,2028-03-01,104192.61377492032,691.3190700952615,18399411.500246223,55.049846955495795,289700644.4003359
Arochukwu,2028-04-01,117079.78123968127,692.2575645892432,23285339.765865933,51.95016158406391,390519388.9973513
Bende,2026-05-01,6927.845587499353,2191.302147507078,21961.632868681096,1192.2626757223916,40500.58618266039
Bende,2026-06-01,6774.347209711245,1720.4001819837688,28241.65860171923,848.6807224735727,61683.12653660938
Bende,2026-07-01,7430.868225803524,1614.313491048968,39225.56251840946,749.0638817246695,100743.69214793375
Bende,2026-08-01,7744.486921096154,1490.9341265721068,50161.48184438597,659.9755734387536,149518.6948614193
Bende,2026-09-01,8480.565135387715,1465.9754060062414,66582.90778894772,621.3435149630841,228906.15176897775
Bende,2026-10-01,9017.514294202934,1424.4972381375496,83779.8323616627,580.428243819541,327913.2860502496
Bende,2026-11-01,9612.843849130146,1398.0506637601195,104379.99212646385,548.1017313935283,461602.8363723301
Bende,2026-12-01,10280.345824327986,1386.504876493282,128664.99925402802,523.5245643526841,637752.0601249682
