LGA,prevalence,burden,recommended_mix,scenario,bau_cases_24m,scenario_cases_24m,cases_averted_24m,cases_averted_low_24m,cases_averted_high_24m,percent_averted,target_coverage_CM,target_coverage_IPTp,target_coverage_Dual AI,target_coverage_PMC,target_coverage_Vac,target_coverage_LSM,target_coverage_Pyr,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,programme_cost_ngn,treatment_savings_ngn,net_cost_ngn,net_cost_per_case_averted_ngn,net_monetary_benefit_ngn
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,Maximum,105309.81705212174,78553.5646105452,26756.25244157656,6230.714208509733,123929.68085338952,25.40717778318226,0.95,0.9,0.9,0.9,0.85,,,1568834.7589827424,379099.7712846612,1189734.9876980812,2353252138.4741135,568649656.9269918,1784602481.5471218,66698.52160514178,2228835384.6893616
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,BAU,634837.8637307053,634837.8637307053,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,Scenario 1,634837.8637307053,599844.5014721535,34993.36225855182,1950.3802676871046,1309883.8161885692,5.512173148102553,0.65,0.55,0.5,0.45,,,,1020365.6797296143,495808.43422168796,524557.2455079263,1530548519.5944214,743712651.3325319,786835868.2618895,22485.2891370734,4462168470.520883
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,Scenario 2,634837.8637307053,564487.4646199655,70350.39911073982,3941.9700952122503,2614688.772374131,11.0816325127989,0.75,0.65,0.6,0.6,,,,2042483.5767010753,996769.6436898558,1045713.9330112196,3063725365.051613,1495154465.5347838,1568570899.5168295,22296.54585253616,8983988967.094143
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,Target,634837.8637307053,521752.4555841765,113085.40814652879,6225.54748200847,4289574.6733047385,17.813274003848484,0.85,0.75,0.75,0.75,,,,3171001.473256349,1602266.7022443283,1568734.7710120208,4756502209.884523,2403400053.3664923,2353102156.518031,20808.185557141314,14609709065.461288
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,High,634837.8637307053,493213.39975010953,141624.46398059576,7675.262964756775,5435551.063713222,22.308761350232263,0.9,0.85,0.85,0.85,,,,3792421.2329276744,2006626.377165136,1785794.8557625385,5688631849.391512,3009939565.747704,2678692283.643808,18914.050640366913,18564977313.445557
Ohafia,8.98,Low,CM + IPTp + Dual AI + PMC,Maximum,634837.8637307053,478148.63663164654,156689.2270990587,8453.74641811768,6043502.120224868,24.68177089788794,0.95,0.9,0.9,0.9,,,,4302604.072792481,2220073.6177731855,2082530.4550192952,6453906109.188721,3330110426.659778,3123795682.528943,19936.25050274888,20379588382.329865
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,BAU,233675.25082857563,233675.25082857563,0.0,0.0,0.0,0.0,0.55,0.45,,0.35,0.25,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,Scenario 1,233675.25082857563,222709.3271981427,10965.92363043292,3175.7076426125104,38740.67393083703,4.692804904049308,0.65,0.55,,0.45,0.35,,0.5,524695.5395839743,155372.24988064243,369323.28970333183,787043309.3759614,233058374.82096365,553984934.5549978,50518.766428170646,1090903610.0099401
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,Scenario 2,233675.25082857563,211120.0078602599,22555.24296831573,6413.33546651104,81037.09808268612,9.652388470040535,0.75,0.65,,0.6,0.5,,0.6,1076199.6088293197,319577.1705783258,756622.438250994,1614299413.2439795,479365755.8674887,1134933657.3764908,50317.95307950255,2248352787.8708687
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,Target,233675.25082857563,198171.19174959685,35504.05907897877,9879.095751300398,129460.5441883813,15.193760979430627,0.85,0.75,,0.75,0.65,,0.75,1717253.5221255966,503044.31481604266,1214209.207309554,2575880283.188395,754566472.224064,1821313810.9643312,51298.7488814397,3504295050.882484
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,High,233675.25082857563,189614.2417525482,44061.0090760274,12113.309424196541,161532.88111838157,18.855659262071615,0.9,0.85,,0.85,0.75,,0.85,2098726.8191437996,624284.6788714612,1474442.1402723384,3148090228.715699,936427018.3071917,2211663210.408508,50195.47343076679,4397488150.995604
Osisioma Ngwa,10.48,Moderate,CM + IPTp + Pyr + PMC + Vac,Maximum,233675.25082857563,184460.98091213524,49214.26991644039,13455.180326449154,181549.3334875205,21.060968049433708,0.95,0.9,,0.9,0.85,,0.9,2386311.3022691202,697299.3886196419,1689011.9136494782,3579466953.4036803,1045949082.9294628,2533517870.4742174,51479.33464777209,4848622616.991841
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,BAU,250548.08893499654,250548.08893499654,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 1,250548.08893499654,236474.16482393764,14073.924111058908,1210.210026613583,186282.8660116151,5.6172546240056604,0.65,0.55,0.5,0.45,0.35,,,422485.93341352703,199408.39709261362,223077.5363209134,633728900.1202905,299112595.6389204,334616304.4813701,23775.62233822461,1776472312.177466
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 2,250548.08893499654,222327.11514794786,28220.973787048664,2409.3229559199444,374991.57398409996,11.263695487364286,0.75,0.65,0.6,0.6,0.5,,,855342.6198307092,399852.8841608648,455489.7356698443,1283013929.7460637,599779326.2412972,683234603.5047665,24210.171082697383,3549911464.552533
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,Target,250548.08893499654,205245.62470371966,45302.46423127687,3766.051413951802,615248.3172956766,18.0813449521183,0.85,0.75,0.75,0.75,0.65,,,1325125.9275217855,641874.4129511081,683251.5145706773,1987688891.2826781,962811619.4266621,1024877271.8560159,22622.991690338105,5770492362.835514
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,High,250548.08893499654,193940.9220815368,56607.16685345975,4631.99723566419,776707.1076042426,22.593334115650027,0.9,0.85,0.85,0.85,0.75,,,1584736.7246589675,802046.7011991898,782690.0234597777,2377105086.988451,1203070051.7987847,1174035035.1896665,20740.042302928134,7317039992.829295
Ugwunagbo,17.63,Moderate,CM + IPTp + Dual AI + PMC + Vac,Maximum,250548.08893499654,187653.71055474726,62894.37838024928,5125.93595482864,865674.8582386171,25.102717265812757,0.95,0.9,0.9,0.9,0.85,,,1805742.3571990642,891127.9526572791,914614.404541785,2708613535.7985964,1336691928.9859185,1371921606.8126776,21813.103844007495,8062235150.224714
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,BAU,92016.54688240882,92016.54688240882,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 1,92016.54688240882,86845.91440004634,5170.6324823625,452.1977114390646,270748.6769898009,5.619242035859304,0.65,0.55,0.5,0.45,0.35,,,178538.69903727167,73260.84232987465,105277.856707397,267808048.5559075,109891263.49481197,157916785.0610955,30541.096393867498,617678087.2932795
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 2,92016.54688240882,81457.01748731284,10559.529395095979,933.0118722879733,537919.7586631358,11.475685355363717,0.75,0.65,0.6,0.6,0.5,,,364140.00808380323,149614.195309882,214525.81277392124,546210012.1257049,224421292.96482298,321788719.1608819,30473.774646654794,1262140690.1035147
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,Target,92016.54688240882,75155.48782371811,16861.059058690724,1449.0422304966762,865230.4872692877,18.323942410312423,0.85,0.75,0.75,0.75,0.65,,,574888.9872166342,238898.31532738305,335990.67188925116,862333480.8249513,358347472.99107456,503986007.8338767,29890.530961286586,2025172850.9697318
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,High,92016.54688240882,71094.47380101646,20922.073081392387,1754.1103487282603,1099915.1809966573,22.737294313086363,0.9,0.85,0.85,0.85,0.75,,,697097.6076573179,296437.3705650936,400660.23709222424,1045646411.4859768,444656055.8476404,600990355.6383364,28725.181931079453,2537320606.5705214
Ukwa East,21.11,Moderate,CM + IPTp + Dual AI + PMC + Vac,Maximum,92016.54688240882,68739.67747994678,23276.869402462056,1945.605632345022,1223989.3207020652,25.296395258353247,0.95,0.9,0.9,0.9,0.85,,,793015.425509287,329801.63742902485,463213.78808026214,1189523138.2639306,494702456.1435373,694820682.1203932,29850.263371194585,2796709728.248915
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,BAU,192354.2503891291,192354.2503891291,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 1,192354.2503891291,177324.44799030785,15029.802398821252,3307.351029323612,96974.59771066716,7.813605557670932,0.65,0.55,0.5,0.45,0.35,,,346332.0466941841,212951.89467539114,133380.15201879293,519498070.0412761,319427842.01308674,200070228.0281894,13311.56742578867,2054400131.7949984
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 2,192354.2503891291,161237.7025895887,31116.547799540374,6804.349633906391,198451.33522010763,16.176688446754973,0.75,0.65,0.6,0.6,0.5,,,703277.313367307,440879.2367216472,262398.0766456597,1054915970.0509604,661318855.0824708,393597114.9684895,12649.125394761928,4273885054.9625664
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,Target,192354.2503891291,143985.53399071662,48368.7163984125,10375.682472926379,315581.8414325291,25.145644715707338,0.85,0.75,0.75,0.75,0.65,,,1098012.5205485956,685319.0432408095,412693.477307786,1647018780.8228934,1027978564.8612142,619040215.961679,12798.359395412783,6636267243.800196
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,High,192354.2503891291,132772.74815215796,59581.50223697113,12503.240954083121,397347.36291813204,30.97488208159625,0.9,0.85,0.85,0.85,0.75,,,1320677.1836108111,844188.9954563971,476488.1881544141,1981015775.4162166,1266283493.1845956,714732282.2316211,11995.875488149744,8222493053.314049
Ukwa West,17.23,Moderate,CM + IPTp + Dual AI + PMC + Vac,Maximum,192354.2503891291,126121.39893996684,66232.85144916226,13821.801391385401,443480.7842220655,34.43274651595919,0.95,0.9,0.9,0.9,0.85,,,1503834.0857079031,938429.5835425621,565404.5021653409,2255751128.561855,1407644375.3138433,848106753.2480114,12804.925874269278,9086820964.12633
