LGA,scenario,date,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,cost_CM_usd_2024,cost_IPTp_usd_2024,cost_Dual AI_usd_2024,cost_PMC_usd_2024,cost_Vac_usd_2024,cost_LSM_usd_2024,cost_Pyr_usd_2024
Ohafia,Scenario 1,2027-12-01,69975.4688096623,36152.79206536633,33822.67674429597,57949.85585760635,333.48140333601566,11502.70265770948,189.4288910104518,,,
Ohafia,Scenario 1,2028-01-01,74732.59141479152,39247.91214884079,35484.67926595073,62706.97846273558,333.48140333601566,11502.70265770948,189.4288910104518,,,
Ohafia,Scenario 1,2028-02-01,80274.83899235212,42809.447843591464,37465.39114876065,68249.22604029617,333.48140333601566,11502.70265770948,189.4288910104518,,,
Ohafia,Scenario 1,2028-03-01,86303.03590107759,46699.02629659803,39604.00960447956,74277.42294902164,333.48140333601566,11502.70265770948,189.4288910104518,,,
Ohafia,Scenario 1,2028-04-01,92924.54057520731,50982.46946507981,41942.0711101275,80898.92762315136,333.48140333601566,11502.70265770948,189.4288910104518,,,
Ohafia,Scenario 2,2026-05-01,4362.573582024467,1453.3899000569795,2909.1836819674877,2350.4118862230407,55.580233889335915,1917.1171096182463,39.46435229384408,,,
Ohafia,Scenario 2,2026-06-01,9439.951822610145,3291.8070430662337,6148.144779543911,5415.628431007292,111.16046777867183,3834.2342192364927,78.92870458768826,,,
Ohafia,Scenario 2,2026-07-01,14206.767646979391,5045.624173847002,9161.14347313239,8170.282559575112,166.74070166800774,5751.35132885474,118.39305688153233,,,
Ohafia,Scenario 2,2026-08-01,19980.621612339175,7327.147211778823,12653.474400560353,11931.97482913347,222.32093555734383,7668.468438472985,157.8574091753764,,,
Ohafia,Scenario 2,2026-09-01,25570.486787777656,9608.73673114845,15961.750056629206,15509.678308770523,277.90116944667955,9585.585548091232,197.3217614692206,,,
Ohafia,Scenario 2,2026-10-01,32394.982233253937,12477.799022114026,19917.183211139913,20322.012058445376,333.48140333601566,11502.70265770948,236.78611376306466,,,
Ohafia,Scenario 2,2026-11-01,39651.8583538559,15670.864833249638,23980.993520606266,25566.72648324591,389.0616372253514,13419.819767327732,276.25046605690886,,,
Ohafia,Scenario 2,2026-12-01,47630.89365243575,19271.536444537272,28359.357207898476,31533.60008602434,444.6418711146875,15336.93687694597,315.7148183507528,,,
Ohafia,Scenario 2,2027-01-01,54916.192972831544,22693.63061719193,32222.562355639613,36806.737710618705,500.2221050040236,17254.053986564224,355.179170644597,,,
Ohafia,Scenario 2,2027-02-01,64208.896525389566,27184.472146111828,37024.42437927774,44087.2795673753,555.8023388933593,19171.171096182465,394.6435229384412,,,
Ohafia,Scenario 2,2027-03-01,74013.0701209799,31998.478959610922,42014.59116136898,51879.29146716422,611.382572782695,21088.288205800705,434.1078752322851,,,
Ohafia,Scenario 2,2027-04-01,84640.80814852973,37314.90368461102,47325.90446391871,60494.86779891259,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-05-01,89985.00818476055,40658.36514937887,49326.643035381676,65839.06783514342,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-06-01,95978.29321607371,44362.782375629846,51615.510840443865,71832.35286645658,666.9628066720311,23005.40531541896,473.5722275261293,,,
