LGA,date,month_index,group,scenario,bau_cases,scenario_cases,cases_averted,cases_averted_low,cases_averted_high,coverage_CM,coverage_IPTp,coverage_Dual AI,coverage_PMC,coverage_Vac,coverage_LSM,coverage_Pyr
Ikwuano,2027-01-01,9,U5,High,1166.5893034675512,877.5264831384304,289.06282032912077,27.82263912012398,2664.565911713882,0.8125,0.75,0.7375,0.725,,,
Ikwuano,2027-02-01,10,A5,High,1738.0490206244724,1469.0695978023105,268.97942282216195,0.8663093771604471,60962.331655337824,0.8416666666666668,0.7833333333333333,0.775,0.7666666666666666,,,
Ikwuano,2027-02-01,10,PW,High,1712.550543868463,1311.6001373226097,400.9504065458532,1.0184720158314051,105378.00615823001,0.8416666666666668,0.7833333333333333,0.775,0.7666666666666666,,,
Ikwuano,2027-02-01,10,U5,High,1272.0168744860434,924.9982527533572,347.01862173268626,29.387779025575263,3630.601679136831,0.8416666666666668,0.7833333333333333,0.775,0.7666666666666666,,,
Ikwuano,2027-03-01,11,A5,High,1737.6753866087813,1442.615826604464,295.0595600043173,0.6485700436301709,89154.09381229151,0.8708333333333333,0.8166666666666667,0.8125,0.8083333333333333,,,
Ikwuano,2027-03-01,11,PW,High,1699.280185797583,1265.0299277921163,434.2502580054668,0.7261990535592739,153115.05847961165,0.8708333333333333,0.8166666666666667,0.8125,0.8083333333333333,,,
Ikwuano,2027-03-01,11,U5,High,1376.0796355347686,966.9081313927504,409.1715041420182,30.56490708893326,4846.156802029269,0.8708333333333333,0.8166666666666667,0.8125,0.8083333333333333,,,
Ikwuano,2027-04-01,12,A5,High,1717.9024131048068,1400.4953595050551,317.40705359975163,0.4611222190417099,126208.71521288028,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-04-01,12,PW,High,1670.7806483720117,1208.6062105887806,462.17443778323104,0.4823024497545705,215673.8069450379,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-04-01,12,U5,High,1497.2975717555935,1016.0721368176579,481.2254349379356,31.781095572033074,6437.87206430122,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-05-01,13,A5,High,1709.3276565050123,1393.5049118898187,315.82274461519364,0.2756809670003768,166947.76489293482,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-05-01,13,PW,High,1650.291492147145,1193.7848027114348,456.5066894357101,0.2562922436147534,283284.9494875849,0.9,0.85,0.85,0.85,,,
