LGA,group,order,seasonal_order,rmse,mae,mase,aic,status
Isiala Ngwa South,A5,"(0, 1, 1)","(1, 0, 0, 12)",1234.1374030622628,1213.8916175811567,11.34213144201034,103.76125491404655,ok
Isiala Ngwa South,A5,"(1, 0, 1)","(1, 0, 0, 12)",526.2486600114688,450.91975247682785,4.213218897237354,105.0844037469859,ok
Isiala Ngwa South,A5,"(1, 0, 0)","(1, 0, 0, 12)",974.8181056456403,951.0150572002998,8.88591504041392,120.5472142172453,ok
Isuikwato,PW,"(0, 1, 1)","(0, 1, 1, 12)",4374.452832450401,3880.9166666666665,16.553280727944834,719.8101627097802,ok
Isuikwato,PW,"(1, 1, 0)","(0, 1, 1, 12)",4374.447219314988,3880.914015544226,16.553269420107597,875.4617453020398,ok
Isuikwato,PW,"(1, 1, 1)","(0, 1, 1, 12)",4374.440656551991,3880.910986861601,16.553256501862236,878.0542860981468,ok
Isuikwato,PW,"(0, 1, 1)","(1, 0, 0, 12)",4374.452413174393,3880.916262730825,16.553279005036575,73.59148555161299,ok
Isuikwato,PW,"(1, 0, 1)","(1, 0, 0, 12)",2938.6399457164275,2110.4524654460943,9.00171663657963,74.45401822709664,ok
Isuikwato,PW,"(1, 0, 0)","(1, 0, 0, 12)",2794.344418325007,1958.2468506858952,8.35251375852376,77.70985694480555,ok
Isuikwato,U5,"(0, 1, 1)","(0, 1, 1, 12)",880.6040067287149,795.75,14.832246039142591,796.1781566692102,ok
Isuikwato,U5,"(1, 1, 0)","(0, 1, 1, 12)",880.5959416835126,795.7350297156199,14.831967003087044,1055.1032045412558,ok
Isuikwato,U5,"(1, 1, 1)","(0, 1, 1, 12)",880.594894017309,795.7456243094795,14.832164479207446,1186.5620035727716,ok
Isuikwato,U5,"(0, 1, 1)","(1, 0, 0, 12)",880.6017494203971,795.748348670338,14.83221525946576,81.59276990102707,ok
Isuikwato,U5,"(1, 0, 1)","(1, 0, 0, 12)",597.6013593319202,441.34813311271927,8.2264330496313,82.15230051486216,ok
